Region,Year,Gender,Sat_Very,Sat_Somewhat,Sat_Neutral,Unsat_Somewhat,Unsat_Very,Satisfaction_Rate,Dissatisfaction_Rate,Avg_Satisfaction_Score,Suicide_Rate
경상북도,2020,여자,8.5,24.9,52.6,12.8,1.3,33.4,14.100000000000001,3.2680000000000002,19.3
경상북도,2021,여자,7.2,20.6,46.2,21.9,4.1,27.8,26.0,3.0490000000000004,17.1
경상북도,2022,여자,10.1,33.0,43.3,11.5,2.2,43.1,13.7,3.3759999999999994,14.7
경상북도,2023,여자,9.8,25.3,50.0,12.0,3.0,35.1,15.0,3.272,16.6
경상북도,2024,여자,8.0,31.7,48.4,10.1,1.9,39.7,12.0,3.3409999999999997,16.3
경상남도,2020,Total,14.6,31.3,43.0,9.3,1.8,45.9,11.100000000000001,3.4760000000000004,25.3
경상남도,2021,Total,8.2,24.1,45.4,18.0,4.2,32.3,22.2,3.138,26.3
경상남도,2022,Total,10.1,32.8,43.1,12.1,1.9,42.9,14.0,3.3709999999999996,26.7
경상남도,2023,Total,10.7,33.7,43.6,9.7,2.4,44.400000000000006,12.1,3.409,28.5
경상남도,2024,Total,10.4,32.5,45.2,10.3,1.5,42.9,11.8,3.3970000000000002,28.5
경상남도,2020,남자,16.0,31.6,41.9,8.5,2.1,47.6,10.6,3.5120000000000005,36.3
경상남도,2021,남자,8.4,23.0,45.2,17.9,5.5,31.4,23.4,3.1090000000000004,37.6
경상남도,2022,남자,10.9,33.1,42.6,11.3,2.1,44.0,13.4,3.394000000000001,39.7
경상남도,2023,남자,11.3,34.8,42.0,9.5,2.5,46.099999999999994,12.0,3.432,39.3
경상남도,2024,남자,10.3,32.8,44.5,10.9,1.5,43.099999999999994,12.4,3.395,40.8
경상남도,2020,여자,13.2,30.9,44.2,10.2,1.5,44.099999999999994,11.7,3.4410000000000003,14.3
경상남도,2021,여자,8.0,25.2,45.6,18.1,3.0,33.2,21.1,3.168,14.9
경상남도,2022,여자,9.4,32.6,43.5,12.8,1.6,42.0,14.4,3.3510000000000004,13.6
경상남도,2023,여자,10.2,32.5,45.1,10.0,2.3,42.7,12.3,3.386,17.6
경상남도,2024,여자,10.5,32.2,46.0,9.7,1.5,42.7,11.2,3.4019999999999997,16.0
제주특별자치도,2020,Total,15.3,32.6,41.5,8.8,1.8,47.900000000000006,10.600000000000001,3.508,30.0
제주특별자치도,2021,Total,13.7,24.8,41.7,15.8,4.0,38.5,19.8,3.2840000000000003,26.1
제주특별자치도,2022,Total,14.5,33.7,40.7,9.4,1.8,48.2,11.200000000000001,3.5000000000000004,26.0
